region_en,TL,TR,Location,deaths,sCh,cCh,rainfall_avg,temp_avg,humidity_avg
Adamawa,2012-05-28,2012-06-03,8,0.0,0.0,0.0,9.98857142857143,22.47,81.95857142857142
Adamawa,2012-06-04,2012-06-10,8,0.0,0.0,0.0,7.361428571428571,22.66857142857143,81.00714285714287
Adamawa,2012-06-11,2012-06-17,8,0.0,0.0,0.0,5.357142857142857,22.215714285714284,82.27857142857144
Adamawa,2012-06-18,2012-06-24,8,0.0,0.0,0.0,5.192857142857143,22.46,78.40714285714284
Adamawa,2012-06-25,2012-07-01,8,0.0,0.0,0.0,9.672857142857142,20.935714285714287,84.80428571428571
Adamawa,2012-07-02,2012-07-08,8,0.0,0.0,0.0,8.43,20.51285714285714,87.30571428571429
Adamawa,2012-07-09,2012-07-15,8,0.0,0.0,0.0,7.301428571428572,21.192857142857143,86.22
Adamawa,2012-07-16,2012-07-22,8,0.0,0.0,0.0,3.62,21.07428571428571,86.87857142857145
Adamawa,2012-07-23,2012-07-29,8,0.0,0.0,0.0,3.742857142857143,20.81142857142857,86.17571428571429
Adamawa,2012-07-30,2012-08-05,8,0.0,0.0,0.0,11.285714285714286,21.08285714285714,88.48857142857142
Adamawa,2012-08-06,2012-08-12,8,0.0,0.0,0.0,6.9142857142857155,20.844285714285718,87.28714285714285
Adamawa,2012-08-13,2012-08-19,8,0.0,0.0,0.0,12.161428571428573,20.584285714285716,88.62285714285714
Adamawa,2012-08-20,2012-08-26,8,0.0,0.0,0.0,10.111428571428572,20.44,86.63714285714285
Adamawa,2012-08-27,2012-09-02,8,0.0,0.0,0.0,12.16,21.03857142857143,86.85857142857142
Adamawa,2012-09-03,2012-09-09,8,0.0,0.0,0.0,13.768571428571429,20.580000000000002,88.06142857142858
Adamawa,2012-09-10,2012-09-16,8,0.0,0.0,0.0,17.475714285714286,20.93285714285714,86.78999999999999
Adamawa,2012-09-17,2012-09-23,8,0.0,0.0,0.0,16.032857142857143,20.907142857142855,87.56142857142858
Adamawa,2012-09-24,2012-09-30,8,0.0,0.0,0.0,4.194285714285714,21.052857142857142,87.57142857142857
Adamawa,2012-10-01,2012-10-07,8,0.0,0.0,0.0,10.0,21.42571428571429,86.60714285714286
Adamawa,2012-10-08,2012-10-14,8,0.0,0.0,0.0,4.821428571428571,21.844285714285718,83.42714285714285
Adamawa,2012-10-15,2012-10-21,8,0.0,0.0,0.0,5.331428571428572,21.704285714285714,85.34714285714286
Adamawa,2012-10-22,2012-10-28,8,0.0,0.0,0.0,2.5442857142857145,21.641428571428573,83.82571428571428
