TL,TR,sCh,cCh,deaths,region_en,district
2012-06-18,2012-06-24,0.0,,0.0,Far North,Koza Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Mada Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Maga Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Makary Health District
2018-03-19,2018-03-25,0.0,,,West,Foumbot Health District
2018-03-19,2018-03-25,0.0,,,West,Kekem Health District
2018-03-19,2018-03-25,0.0,,,West,Malantouen Health District
2018-03-19,2018-03-25,0.0,,,West,Mbouda Health District
2018-03-19,2018-03-25,0.0,,,West,Mifi Health District
2018-03-19,2018-03-25,0.0,,,West,Penka Michel Health District
2018-03-19,2018-03-25,0.0,,,West,Santchou Health District
2018-03-19,2018-03-25,0.0,,,North-West,Bafut Health District
2018-03-19,2018-03-25,0.0,,,North-West,Bali Health District
2018-03-19,2018-03-25,0.0,,,North-West,Bamenda Health District
2018-03-19,2018-03-25,0.0,,,North-West,Batibo Health District
2018-03-19,2018-03-25,0.0,,,North-West,Fundong Health District
2015-10-26,2015-11-01,0.0,,0.0,Far North,Koza Health District
2015-10-26,2015-11-01,0.0,,0.0,Far North,Mada Health District
2013-01-28,2013-02-03,0.0,,0.0,Littoral,Bonassama Health District
2013-01-28,2013-02-03,0.0,,0.0,Littoral,Cite des palmiers Health District
2013-01-28,2013-02-03,0.0,,0.0,Littoral,Deido Health District
2013-01-28,2013-02-03,0.0,,0.0,Littoral,Dibombari Health District
2013-01-28,2013-02-03,0.0,,0.0,Littoral,Edea Health District
2013-01-28,2013-02-03,0.0,,0.0,Littoral,Logbaba Health District
2013-01-28,2013-02-03,0.0,,0.0,Littoral,Loum Health District
2013-01-28,2013-02-03,0.0,,0.0,Littoral,Manjo Health District
2012-12-17,2012-12-23,0.0,,0.0,West,Bangangte Health District
2012-12-17,2012-12-23,0.0,,0.0,West,Bangourain Health District
2012-12-17,2012-12-23,0.0,,0.0,West,Batcham Health District
2012-12-17,2012-12-23,0.0,,0.0,West,Dschang Health District
2012-12-17,2012-12-23,0.0,,0.0,West,Foumban Health District
2012-12-17,2012-12-23,0.0,,0.0,West,Foumbot Health District
2016-04-11,2016-04-17,0.0,,0.0,Centre,Evodoula Health District
2016-04-11,2016-04-17,0.0,,0.0,Centre,Mbalmayo Health District
2016-04-11,2016-04-17,0.0,,0.0,Centre,Mbandjock Health District
2012-06-18,2012-06-24,0.0,,0.0,Far North,Yagoua Health District
2012-06-18,2012-06-24,0.0,,0.0,Centre,Akonolinga Health District
