Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,delete_flag,region_en,region_fr
85980,AFR::CMR,2018-05-28,2018-06-03,,0.0,,,2018-06-03,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
85981,AFR::CMR,2018-06-04,2018-06-10,,1.0,,,2018-06-10,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases",JHU,0,,
85982,AFR::CMR,2018-06-11,2018-06-17,,0.0,,,2018-06-17,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
85983,AFR::CMR,2018-06-18,2018-06-24,,0.0,,,2018-06-24,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
85986,AFR::CMR,2010-05-01,2010-08-26,297.0,,,,2010-08-26,43,JHU Cholera Database (UID: 960),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 297 deaths",JHU,0,,
85988,AFR::CMR,2018-11-18,2018-11-23,,11.0,,,2018-11-23,17,WHO AFRO Surveillance Report (UID: 21036),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11 cases",JHU,0,,
86077,AFR::CMR,2018-05-18,2018-10-29,43.0,645.0,53.0,6.7,2018-10-29,23,WHO AFRO Surveillance Report (UID: 21021),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 645 cases, 43 deaths",JHU,0,,
86078,AFR::CMR,2018-10-23,2018-10-29,3.0,44.0,,6.8,2018-10-29,23,WHO AFRO Surveillance Report (UID: 21021),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 44 cases, 3 deaths",JHU,0,,
86083,AFR::CMR,2018-05-18,2018-09-24,31.0,367.0,37.0,8.4,2018-09-24,25,WHO AFRO Surveillance Report (UID: 20990),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 367 cases, 31 deaths",JHU,0,,
86085,AFR::CMR,2018-09-07,2018-09-24,11.0,116.0,,9.5,2018-09-24,25,WHO AFRO Surveillance Report (UID: 20990),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 116 cases, 11 deaths",JHU,0,,
86112,AFR::CMR,2018-05-18,2018-07-31,11.0,120.0,14.0,9.2,2018-07-31,10,WHO AFRO Surveillance Report (UID: 20947),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 120 cases, 11 deaths",JHU,0,,
86115,AFR::CMR,2018-05-18,2018-08-09,12.0,161.0,17.0,7.5,2018-08-09,21,WHO AFRO Surveillance Report (UID: 20953),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 161 cases, 12 deaths",JHU,0,,
86116,AFR::CMR,2018-08-06,2018-08-12,,4.0,,,2018-08-12,21,WHO AFRO Surveillance Report (UID: 20953),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 4 cases",JHU,0,,
86119,AFR::CMR,2018-05-18,2018-08-12,,101.0,,,2018-08-12,21,WHO AFRO Surveillance Report (UID: 20953),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 101 cases",JHU,0,,
86130,AFR::CMR,2015-01-01,2015-01-07,,0.0,,,2015-01-07,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86131,AFR::CMR,2015-01-01,2015-12-28,5.0,,,,2015-12-28,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 5 deaths",JHU,0,,
86132,AFR::CMR,2015-01-08,2015-01-14,,0.0,,,2015-01-14,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86133,AFR::CMR,2015-01-15,2015-01-21,,0.0,,,2015-01-21,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86134,AFR::CMR,2015-01-22,2015-01-28,,0.0,,,2015-01-28,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86135,AFR::CMR,2015-01-29,2015-02-04,,0.0,,,2015-02-04,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86136,AFR::CMR,2015-02-05,2015-03-11,,0.0,,,2015-03-11,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86137,AFR::CMR,2015-03-12,2015-03-18,,0.0,,,2015-03-18,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86138,AFR::CMR,2015-03-19,2015-03-25,,1.0,,,2015-03-25,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases",JHU,0,,
86139,AFR::CMR,2015-03-26,2015-04-01,,0.0,,,2015-04-01,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86140,AFR::CMR,2015-04-02,2015-04-08,,1.0,,,2015-04-08,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases",JHU,0,,
86141,AFR::CMR,2015-04-09,2015-04-15,,0.0,,,2015-04-15,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86142,AFR::CMR,2015-04-16,2015-04-22,,0.0,,,2015-04-22,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86143,AFR::CMR,2015-04-23,2015-04-29,,0.0,,,2015-04-29,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86144,AFR::CMR,2015-04-30,2015-05-06,,0.0,,,2015-05-06,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86145,AFR::CMR,2015-05-07,2015-05-13,,0.0,,,2015-05-13,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86146,AFR::CMR,2015-05-14,2015-05-20,,0.0,,,2015-05-20,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86147,AFR::CMR,2015-05-21,2015-05-27,,0.0,,,2015-05-27,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86148,AFR::CMR,2015-05-28,2015-06-03,,0.0,,,2015-06-03,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86149,AFR::CMR,2015-06-04,2015-06-10,,0.0,,,2015-06-10,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86150,AFR::CMR,2015-06-11,2015-06-17,,0.0,,,2015-06-17,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
86151,AFR::CMR,2015-06-18,2015-06-24,,1.0,,,2015-06-24,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases",JHU,0,,
86152,AFR::CMR,2015-06-25,2015-07-01,,0.0,,,2015-07-01,2,JHU Cholera Database (UID: 5103),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
