Region,month_date,cases,deaths,CFR,rainfall_avg,temperature_avg,humidity_avg,year,month,cases_lag1,cases_lag2,rainfall_lag1,rainfall_lag2,temperature_lag1,temperature_lag2,humidity_lag1,humidity_lag2,risk_level,Region_Adamaoua,Region_Centre,Region_East,Region_Far North,Region_Littoral,Region_North,Region_North-West,Region_South,Region_South-West,Region_West
Adamaoua,2018-01-01,0,0,0.0,0.0,19.541785714285716,41.496785714285714,2018,1,140.0,129.0,0.0,1.389285714285714,21.293714285714284,22.129285714285714,58.868857142857145,74.35857142857142,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-02-01,0,0,0.0,0.5535714285714285,23.915714285714287,45.864999999999995,2018,2,0.0,140.0,0.0,0.0,19.541785714285716,21.293714285714284,41.496785714285714,58.868857142857145,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-03-01,0,0,0.0,0.5117857142857142,24.825357142857143,58.32107142857143,2018,3,0.0,0.0,0.5535714285714285,0.0,23.915714285714287,19.541785714285716,45.864999999999995,41.496785714285714,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-04-01,0,0,0.0,2.299714285714286,24.916571428571427,66.852,2018,4,0.0,0.0,0.5117857142857142,0.5535714285714285,24.825357142857143,23.915714285714287,58.32107142857143,45.864999999999995,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-05-01,0,0,0.0,6.622857142857143,23.51642857142857,80.2667857142857,2018,5,0.0,0.0,2.299714285714286,0.5117857142857142,24.916571428571427,24.825357142857143,66.852,58.32107142857143,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-06-01,0,0,0.0,6.5389285714285705,22.64107142857143,82.76678571428572,2018,6,0.0,0.0,6.622857142857143,2.299714285714286,23.51642857142857,24.916571428571427,80.2667857142857,66.852,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-07-01,0,0,0.0,14.665142857142857,21.559142857142856,85.60657142857143,2018,7,0.0,0.0,6.5389285714285705,6.622857142857143,22.64107142857143,23.51642857142857,82.76678571428572,80.2667857142857,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-08-01,101,0,0.0,14.885714285714286,21.00714285714286,88.0875,2018,8,0.0,0.0,14.665142857142857,6.5389285714285705,21.559142857142856,22.64107142857143,85.60657142857143,82.76678571428572,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-09-01,0,0,0.0,13.958571428571428,21.460857142857144,87.14571428571428,2018,9,101.0,0.0,14.885714285714286,14.665142857142857,21.00714285714286,21.559142857142856,88.0875,85.60657142857143,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-10-01,0,0,0.0,3.8517857142857137,22.147857142857145,84.1875,2018,10,0.0,101.0,13.958571428571428,14.885714285714286,21.460857142857144,21.00714285714286,87.14571428571428,88.0875,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2018-11-01,0,0,0.0,0.8496428571428571,22.46,74.79607142857142,2018,11,0.0,0.0,3.8517857142857137,13.958571428571428,22.147857142857145,21.460857142857144,84.1875,87.14571428571428,0,1,0,0,0,0,0,0,0,0,0
