ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Quintile,Service level
CMR,Cameroon,urban,Drinking water,2019,2.64337,76818.1163,Middle,Unimproved
CMR,Cameroon,total,Sanitation,2019,36.03893,1838424.76611,Middle,Unimproved
CMR,Cameroon,rural,Sanitation,2019,68.02979,1493360.51738,Middle,Unimproved
CMR,Cameroon,urban,Sanitation,2019,10.42442,302940.1505,Middle,Unimproved
CMR,Cameroon,total,Drinking water,2019,51.29193,2616513.53744,Poor,At least basic
CMR,Cameroon,rural,Drinking water,2019,39.95712,877121.39267,Poor,At least basic
CMR,Cameroon,urban,Drinking water,2019,84.76326,2463273.17363,Poor,At least basic
CMR,Cameroon,total,Sanitation,2019,27.04541,1379645.84087,Poor,At least basic
CMR,Cameroon,rural,Sanitation,2019,15.66119,343787.57622,Poor,At least basic
CMR,Cameroon,urban,Sanitation,2019,51.33705,1491886.76327,Poor,At least basic
CMR,Cameroon,total,Hygiene,2019,25.43549,1297520.24385,Poor,Basic service
CMR,Cameroon,rural,Hygiene,2019,10.5884,232431.98779,Poor,Basic service
CMR,Cameroon,urban,Hygiene,2019,38.37184,1115109.70864,Poor,Basic service
CMR,Cameroon,total,Drinking water,2019,7.44363,379715.64279,Poor,Limited service
CMR,Cameroon,rural,Drinking water,2019,6.66195,146240.25473,Poor,Limited service
CMR,Cameroon,urban,Drinking water,2019,9.50495,276219.78005,Poor,Limited service
CMR,Cameroon,total,Hygiene,2019,70.77255,3610262.57793,Poor,Limited service
CMR,Cameroon,rural,Hygiene,2019,82.16606,1803673.64269,Poor,Limited service
CMR,Cameroon,urban,Hygiene,2019,57.56166,1672777.6443,Poor,Limited service
CMR,Cameroon,total,Sanitation,2019,6.51222,332202.34978,Poor,Limited service
CMR,Cameroon,rural,Sanitation,2019,0.66595,14618.58733,Poor,Limited service
CMR,Cameroon,urban,Sanitation,2019,29.45271,855914.0838,Poor,Limited service
CMR,Cameroon,total,Hygiene,2019,3.79196,193436.17823,Poor,No handwashing facility
CMR,Cameroon,rural,Hygiene,2019,7.24554,159050.96952,Poor,No handwashing facility
CMR,Cameroon,urban,Hygiene,2019,4.0665,118175.04707,Poor,No handwashing facility
CMR,Cameroon,total,Sanitation,2019,3.55329,181261.09615,Poor,Open defecation
CMR,Cameroon,rural,Sanitation,2019,14.89296,326923.88038,Poor,Open defecation
CMR,Cameroon,urban,Sanitation,2019,0.42449,12335.84989,Poor,Open defecation
CMR,Cameroon,total,Drinking water,2019,9.55821,487585.30463,Poor,Surface water
CMR,Cameroon,rural,Drinking water,2019,15.71649,345001.65715,Poor,Surface water
CMR,Cameroon,urban,Drinking water,2019,0.11425,3320.15949,Poor,Surface water
CMR,Cameroon,total,Drinking water,2019,31.70624,1617404.51514,Poor,Unimproved
CMR,Cameroon,rural,Drinking water,2019,37.66443,826793.29545,Poor,Unimproved
CMR,Cameroon,urban,Drinking water,2019,5.61754,163249.28682,Poor,Unimproved
CMR,Cameroon,total,Sanitation,2019,62.88908,3208109.7132,Poor,Unimproved
CMR,Cameroon,rural,Sanitation,2019,68.7799,1509826.55607,Poor,Unimproved
CMR,Cameroon,urban,Sanitation,2019,18.78575,545925.70305,Poor,Unimproved
CMR,Cameroon,total,Drinking water,2019,37.918,1934280.06827,Poorest,At least basic
CMR,Cameroon,rural,Drinking water,2019,34.21925,751166.18207,Poorest,At least basic
CMR,Cameroon,urban,Drinking water,2019,75.06807,2181524.94601,Poorest,At least basic
CMR,Cameroon,total,Sanitation,2019,12.19763,622227.77145,Poorest,At least basic
CMR,Cameroon,rural,Sanitation,2019,9.60122,210761.72472,Poorest,At least basic
CMR,Cameroon,urban,Sanitation,2019,36.06857,1048175.0789,Poorest,At least basic
CMR,Cameroon,total,Hygiene,2019,7.8964,402812.70066,Poorest,Basic service
CMR,Cameroon,rural,Hygiene,2019,5.8961,129428.52919,Poorest,Basic service
CMR,Cameroon,urban,Hygiene,2019,28.32321,823090.07544,Poorest,Basic service
CMR,Cameroon,total,Drinking water,2019,8.07072,411705.31812,Poorest,Limited service
CMR,Cameroon,rural,Drinking water,2019,8.57953,188334.21807,Poorest,Limited service
CMR,Cameroon,urban,Drinking water,2019,8.95072,260113.50728,Poorest,Limited service
CMR,Cameroon,total,Hygiene,2019,85.69417,4371447.22382,Poorest,Limited service
CMR,Cameroon,rural,Hygiene,2019,88.45603,1941748.31306,Poorest,Limited service
CMR,Cameroon,urban,Hygiene,2019,66.55512,1934133.39842,Poorest,Limited service
CMR,Cameroon,total,Sanitation,2019,0.98165,50076.28643,Poorest,Limited service
CMR,Cameroon,rural,Sanitation,2019,0.53675,11782.47925,Poorest,Limited service
CMR,Cameroon,urban,Sanitation,2019,19.25094,559444.37627,Poorest,Limited service
CMR,Cameroon,total,Hygiene,2019,6.40943,326959.07552,Poorest,No handwashing facility
CMR,Cameroon,rural,Hygiene,2019,5.64788,123979.75775,Poorest,No handwashing facility
CMR,Cameroon,urban,Hygiene,2019,5.12167,148838.92614,Poorest,No handwashing facility
CMR,Cameroon,total,Sanitation,2019,21.89448,1116885.62288,Poorest,Open defecation
CMR,Cameroon,rural,Sanitation,2019,29.32666,643766.01155,Poorest,Open defecation
CMR,Cameroon,urban,Sanitation,2019,1.91225,55571.24065,Poorest,Open defecation
CMR,Cameroon,total,Drinking water,2019,19.32371,985744.78647,Poorest,Surface water
CMR,Cameroon,rural,Drinking water,2019,23.41005,513887.26213,Poorest,Surface water
CMR,Cameroon,urban,Drinking water,2019,2.91539,84723.14156,Poorest,Surface water
CMR,Cameroon,total,Drinking water,2019,34.68757,1769488.82713,Poorest,Unimproved
CMR,Cameroon,rural,Drinking water,2019,33.79116,741768.93774,Poorest,Unimproved
CMR,Cameroon,urban,Drinking water,2019,13.06582,379700.80515,Poorest,Unimproved
